name,mass,year,lat,lng,recclass,group,fall,id
Molina,144000.0,1858,38.1167,-1.1667,H5,Stony,Fell,16715
Zmenj,246.0,1858,51.8333,26.8333,Howardite,Stony,Fell,30411
Augusta County,76000.0,1858,38.1667,-79.0833,"Iron, IIIAB",Iron,Found,4897
Joel's Iron,1300.0,1858,-24.0,-69.0,"Iron, IIIAB",Iron,Found,12175
Trenton,505000.0,1858,43.3667,-88.1333,"Iron, IIIAB",Iron,Found,24045
Wooster,22700.0,1858,40.7667,-81.95,"Iron, IAB-sLL",Iron,Found,24336
Bethlehem,13.9,1859,42.5333,-73.8333,H,Stony,Fell,5032
Beuste,2000.0,1859,43.2167,-0.2333,L5,Stony,Fell,5034
Harrison County,680.0,1859,38.25,-86.1667,L6,Stony,Fell,11842
Pampanga,10500.0,1859,15.0833,120.7,L5,Stony,Fell,18093
Tombigbee River,43000.0,1859,32.2333,-88.2,"Iron, IIG",Iron,Found,24021
Alessandria,908.0,1860,44.8833,8.75,H5,Stony,Fell,463
Dhurmsala,32000.0,1860,32.2333,76.4667,LL6,Stony,Fell,7640
Kheragur,450.0,1860,26.95,77.8833,L6,Stony,Fell,12294
Kusiali,5.0,1860,29.6833,78.3833,L6,Stony,Fell,12382
New Concord,230000.0,1860,40.0,-81.7667,L6,Stony,Fell,16953
Sologne,54.0,1860,47.3667,1.7333,H5,Stony,Fell,23663
Cleveland,115000.0,1860,34.8833,-84.7833,"Iron, IIIAB",Iron,Found,5379
Coopertown,16800.0,1860,36.4333,-87.0,"Iron, IIIE",Iron,Found,5438
La Grange,50800.0,1860,38.4,-85.3667,"Iron, IVA",Iron,Found,12399
Marshall County,6800.0,1860,37.0,-88.25,"Iron, IIIAB",Iron,Found,15433
Victoria West,2950.0,1860,-31.7,23.75,"Iron, IAB-sHL",Iron,Found,24171
Butsura,29000.0,1861,27.0833,84.0833,H6,Stony,Fell,5183
Cañellas,945.0,1861,41.25,1.6667,H4,Stony,Fell,5251
Grosnaja,3500.0,1861,43.6667,45.3833,CV3,Stony,Fell,11206
